station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
Jacobs,2022-12-24T00:00,39.0,36.0,1.0,,,
Fort Bragg High School,2022-12-24T00:00,15.0,14.0,1.0,,,
Willows-Colusa,2022-12-24T00:00,10.0,9.0,1.0,12.5,52.0,2.0
Colusa - Sunrise Blvd.,2022-12-24T00:00,11.0,10.0,1.0,13.8,55.0,2.0
Chico -  East,2022-12-24T00:00,16.0,15.0,1.0,10.9,45.0,1.0
Yuba City,2022-12-24T00:00,22.0,20.0,1.0,19.5,67.0,2.0
San Juan Bautista AMS,2022-12-24T00:00,15.0,14.0,1.0,,,
Downtown Sacramento - T Street,2022-12-24T00:00,33.0,31.0,1.0,31.6,92.0,2.0
TracyAP,2022-12-24T00:00,37.0,34.0,1.0,35.5,101.0,3.0
Hollister AMS,2022-12-24T00:00,16.0,15.0,1.0,9.2,38.0,1.0
Roseville - N.Sunrise/Douglas,2022-12-24T00:00,33.0,31.0,1.0,26.9,82.0,2.0
Manteca,2022-12-24T00:00,36.0,33.0,1.0,30.3,89.0,2.0
King City AMS,2022-12-24T00:00,9.0,8.0,1.0,2.6,11.0,1.0
Modesto - 14th Street,2022-12-24T00:00,39.0,36.0,1.0,30.6,90.0,2.0
Turlock - S. Minaret Street,2022-12-24T00:00,40.0,37.0,1.0,32.2,93.0,2.0
San Andreas,2022-12-24T00:00,16.0,15.0,1.0,14.0,55.0,2.0
Atascadero2,2022-12-24T00:00,8.0,7.0,1.0,2.5,10.0,1.0
Paso Robles - Santa Fe Ave,2022-12-24T00:00,5.0,5.0,1.0,,,
SLO Roberto,2022-12-24T00:00,14.0,13.0,1.0,6.5,27.0,1.0
Nipomo Mesa CDF,2022-12-24T00:00,18.0,17.0,1.0,4.9,20.0,1.0
Mesa 2 /Nipomo,2022-12-24T00:00,22.0,20.0,1.0,4.0,17.0,1.0
Nipomo RP,2022-12-24T00:00,15.0,14.0,1.0,,,
Merced-M St,2022-12-24T00:00,42.0,39.0,1.0,35.1,99.0,2.0
Lompoc H Street,2022-12-24T00:00,9.0,8.0,1.0,4.6,19.0,1.0
Santa Maria,2022-12-24T00:00,7.0,6.0,1.0,5.3,22.0,1.0
Las Flores Canyon,2022-12-24T00:00,8.0,7.0,1.0,,,
Madera-City,2022-12-24T00:00,32.0,30.0,1.0,28.8,86.0,2.0
South Lake Tahoe - Sandy Way,2022-12-24T00:00,12.0,11.0,1.0,,,
Goleta,2022-12-24T00:00,16.0,15.0,1.0,4.3,18.0,1.0
Reno4,2022-12-24T00:00,28.0,26.0,1.0,9.2,38.0,1.0
Fresno - Garland,2022-12-24T00:00,49.0,45.0,1.0,35.8,102.0,3.0
Santa Rosa Rancheria,2022-12-24T00:00,28.0,26.0,1.0,,,
Sparks,2022-12-24T00:00,20.0,19.0,1.0,7.5,31.0,1.0
Fresno - Drummond Street,2022-12-24T00:00,55.0,51.0,2.0,,,
Toll,2022-12-24T00:00,34.0,31.0,1.0,6.5,27.0,1.0
Clovis - N. Villa Ave,2022-12-24T00:00,49.0,45.0,1.0,36.7,104.0,3.0
Santa Barbara,2022-12-24T00:00,21.0,19.0,1.0,8.1,34.0,1.0
Hanford - S. Irwin Street,2022-12-24T00:00,32.0,30.0,1.0,32.3,93.0,2.0
Wadsworth-NV,2022-12-24T00:00,12.0,11.0,1.0,,,
El Rio - Rio Mesa School #2,2022-12-24T00:00,18.0,17.0,1.0,3.7,15.0,1.0
Lee Vining,2022-12-24T00:00,9.0,8.0,1.0,5.2,22.0,1.0
Oildale - 3311 Manor Street,2022-12-24T00:00,32.0,30.0,1.0,,,
Bakersfield - Golden State Highway,2022-12-24T00:00,48.0,44.0,1.0,35.5,101.0,3.0
Mammoth Lakes,2022-12-24T00:00,24.0,22.0,1.0,,,
Simi Valley - Cochran Street,2022-12-24T00:00,11.0,10.0,1.0,0.5,2.0,1.0
Bishop Paiute Tribe-CA,2022-12-24T00:00,10.0,9.0,1.0,3.4,14.0,1.0
NCORE - Bishop,2022-12-24T00:00,8.0,7.0,1.0,2.4,10.0,1.0
Los Angeles - N. Main Street,2022-12-24T00:00,61.0,54.0,2.0,35.3,100.0,2.0
Long Beach Signal Hill,2022-12-24T00:00,51.0,47.0,1.0,20.7,69.0,2.0
Mojave - CA 58 Business,2022-12-24T00:00,4.0,4.0,1.0,2.2,9.0,1.0
Lone Pine,2022-12-24T00:00,10.0,9.0,1.0,,,
Olancha,2022-12-24T00:00,5.0,5.0,1.0,,,
Bill Stanley,2022-12-24T00:00,7.0,6.0,1.0,,,
North Beach,2022-12-24T00:00,6.0,6.0,1.0,,,
Dirty Socks,2022-12-24T00:00,5.0,5.0,1.0,,,
Coso Junction,2022-12-24T00:00,6.0,6.0,1.0,,,
Lizard Tail,2022-12-24T00:00,6.0,6.0,1.0,,,
Anaheim,2022-12-24T00:00,38.0,35.0,1.0,18.8,65.0,2.0
Shell Cut,2022-12-24T00:00,6.0,6.0,1.0,,,
Keeler,2022-12-24T00:00,6.0,6.0,1.0,4.4,18.0,1.0
Mill Site,2022-12-24T00:00,4.0,4.0,1.0,,,
Glendora - Laurel,2022-12-24T00:00,43.0,40.0,1.0,16.6,60.0,2.0
Upland,2022-12-24T00:00,35.0,32.0,1.0,20.0,68.0,2.0
Mira Loma - Van Buren,2022-12-24T00:00,48.0,44.0,1.0,20.1,68.0,2.0
Riverside - Rubidoux,2022-12-24T00:00,40.0,37.0,1.0,12.8,52.0,2.0
Trona - Athol and Telegraph,2022-12-24T00:00,21.0,19.0,1.0,,,
Lake Elsinore - W. Flint Street,2022-12-24T00:00,12.0,11.0,1.0,7.0,29.0,1.0
Victorville - Park Avenue,2022-12-24T00:00,9.0,8.0,1.0,3.1,13.0,1.0
Hesperia - Olive Street,2022-12-24T00:00,13.0,12.0,1.0,,,
Barstow,2022-12-24T00:00,11.0,10.0,1.0,,,
Lucerne Valley,2022-12-24T00:00,8.0,7.0,1.0,,,
Nampa Fire Station,2022-12-24T00:00,9.0,8.0,1.0,2.1,9.0,1.0
Palm Springs - Fire Station,2022-12-24T00:00,17.0,16.0,1.0,,,
Garden City,2022-12-24T00:00,6.0,6.0,1.0,5.5,23.0,1.0
Indio-29 Palms,2022-12-24T00:00,36.0,33.0,1.0,9.4,39.0,1.0
Saul Martinez,2022-12-24T00:00,27.0,25.0,1.0,,,
Salton Sea Beach,2022-12-24T00:00,26.0,24.0,1.0,13.0,53.0,2.0
Glen Oaks,2022-12-24T00:00,6.0,6.0,1.0,,,
Church,2022-12-24T00:00,4.0,4.0,1.0,,,
Manse,2022-12-24T00:00,5.0,5.0,1.0,,,
Elko,2022-12-24T00:00,10.0,9.0,1.0,,,
Westmorland - 570 Cook St,2022-12-24T00:00,24.0,22.0,1.0,,,
El Centro - 9th Street,2022-12-24T00:00,22.0,20.0,1.0,4.4,18.0,1.0
Niland - English Road,2022-12-24T00:00,14.0,13.0,1.0,,,
Brawley - 220 Main Street,2022-12-24T00:00,22.0,20.0,1.0,4.4,18.0,1.0
Calexico - Ethel Street,2022-12-24T00:00,38.0,35.0,1.0,14.1,55.0,2.0
Jean,2022-12-24T00:00,27.0,25.0,1.0,4.0,17.0,1.0
Palo Verde,2022-12-24T00:00,25.0,23.0,1.0,10.2,43.0,1.0
Mountains Edge,2022-12-24T00:00,29.0,27.0,1.0,8.4,35.0,1.0
Walter Johnson,2022-12-24T00:00,25.0,23.0,1.0,10.3,43.0,1.0
Paul Meyer,2022-12-24T00:00,30.0,28.0,1.0,12.9,53.0,2.0
Joe Neal,2022-12-24T00:00,33.0,31.0,1.0,9.9,41.0,1.0
Liberty High School,2022-12-24T00:00,20.0,19.0,1.0,7.1,30.0,1.0
Sunrise Acres,2022-12-24T00:00,21.0,19.0,1.0,7.1,30.0,1.0
Walnut Rec.,2022-12-24T00:00,27.0,25.0,1.0,6.4,27.0,1.0
Jerome Mack,2022-12-24T00:00,19.0,18.0,1.0,7.4,31.0,1.0
GreenValley,2022-12-24T00:00,17.0,16.0,1.0,5.3,22.0,1.0
Garrett Jr. High,2022-12-24T00:00,13.0,12.0,1.0,3.4,14.0,1.0
Yuma Supersite,2022-12-24T00:00,19.0,18.0,1.0,3.1,13.0,1.0
Bullhead City,2022-12-24T00:00,6.0,6.0,1.0,,,
Virgin Valley,2022-12-24T00:00,10.0,9.0,1.0,2.2,9.0,1.0
Alamo Lake,2022-12-24T00:00,0.0,0.0,1.0,0.0,0.0,1.0
Ajo,2022-12-24T00:00,10.0,9.0,1.0,,,
Buckeye,2022-12-24T00:00,33.0,31.0,1.0,,,
Pocatello Garrett and Gould,2022-12-24T00:00,6.0,6.0,1.0,4.5,19.0,1.0
Dysart,2022-12-24T00:00,20.0,19.0,1.0,,,
Zuni Hills,2022-12-24T00:00,18.0,17.0,1.0,,,
Glendale Community College,2022-12-24T00:00,22.0,20.0,1.0,12.7,52.0,2.0
West 43rd,2022-12-24T00:00,23.0,21.0,1.0,,,
West Phoenix,2022-12-24T00:00,33.0,31.0,1.0,15.7,59.0,2.0
Durango Complex,2022-12-24T00:00,41.0,38.0,1.0,20.0,68.0,2.0
Phoenix JLG Supersite,2022-12-24T00:00,32.0,30.0,1.0,12.8,52.0,2.0
South Phoenix,2022-12-24T00:00,31.0,29.0,1.0,16.2,60.0,2.0
North Phoenix,2022-12-24T00:00,18.0,17.0,1.0,11.0,46.0,1.0
Maricopa,2022-12-24T00:00,14.0,13.0,1.0,,,
Central Phoenix,2022-12-24T00:00,27.0,25.0,1.0,,,
Hidden Valley,2022-12-24T00:00,19.0,18.0,1.0,9.8,41.0,1.0
Herriman #3,2022-12-24T00:00,47.0,44.0,1.0,23.9,76.0,2.0
Harrisville,2022-12-24T00:00,16.0,15.0,1.0,3.4,14.0,1.0
Stanfield,2022-12-24T00:00,20.0,19.0,1.0,,,
Tempe,2022-12-24T00:00,15.0,14.0,1.0,9.0,38.0,1.0
South Scottsdale,2022-12-24T00:00,17.0,16.0,1.0,,,
West Chandler Fire Station,2022-12-24T00:00,21.0,19.0,1.0,,,
Hawthorne,2022-12-24T00:00,52.0,48.0,1.0,21.9,72.0,2.0
Mesa - Brooks Reservoir,2022-12-24T00:00,12.0,11.0,1.0,7.9,33.0,1.0
Senior Center,2022-12-24T00:00,8.0,7.0,1.0,,,
LEHI,2022-12-24T00:00,15.0,14.0,1.0,,,
Casa Grande Downtown,2022-12-24T00:00,22.0,20.0,1.0,4.1,17.0,1.0
Higley,2022-12-24T00:00,19.0,18.0,1.0,,,
Lindon,2022-12-24T00:00,40.0,37.0,1.0,22.4,73.0,2.0
Ft McD Yuma Frank-AZ,2022-12-24T00:00,18.0,17.0,1.0,,,
Pinal County Housing,2022-12-24T00:00,16.0,15.0,1.0,,,
COMBS,2022-12-24T00:00,19.0,18.0,1.0,,,
Eloy,2022-12-24T00:00,22.0,20.0,1.0,,,
Apache Junction,2022-12-24T00:00,12.0,11.0,1.0,,,
Payson Well Site,2022-12-24T00:00,8.0,7.0,1.0,,,
Pinal Air Park,2022-12-24T00:00,15.0,14.0,1.0,,,
Rillito,2022-12-24T00:00,15.0,14.0,1.0,,,
Orange Grove,2022-12-24T00:00,10.0,9.0,1.0,5.0,21.0,1.0
Green Valley,2022-12-24T00:00,5.0,5.0,1.0,0.0,0.0,1.0
South Tucson,2022-12-24T00:00,15.0,14.0,1.0,,,
Geronimo,2022-12-24T00:00,19.0,18.0,1.0,2.3,10.0,1.0
Nogales ITN,2022-12-24T00:00,37.0,34.0,1.0,6.4,27.0,1.0
Nogales Post Office,2022-12-24T00:00,17.0,16.0,1.0,8.1,34.0,1.0
Miami Golf Course,2022-12-24T00:00,7.0,6.0,1.0,,,
Corona de Tucson,2022-12-24T00:00,9.0,8.0,1.0,,,
Hayden,2022-12-24T00:00,0.0,0.0,1.0,,,
Paul Spur Chemical Lime Plant,2022-12-24T00:00,13.0,12.0,1.0,,,
Douglas Red Cross,2022-12-24T00:00,7.0,6.0,1.0,,,
Substation,2022-12-24T00:00,1.0,1.0,1.0,,,
Ute 3,2022-12-24T00:00,4.0,4.0,1.0,1.0,4.0,1.0
7E Deming Airport,2022-12-24T00:00,35.0,32.0,1.0,,,
Ute 1,2022-12-24T00:00,8.0,7.0,1.0,1.9,8.0,1.0
Holman Rd,2022-12-24T00:00,27.0,25.0,1.0,,,
South Valley,2022-12-24T00:00,38.0,35.0,1.0,,,
Jefferson,2022-12-24T00:00,40.0,37.0,1.0,8.5,35.0,1.0
North Valley,2022-12-24T00:00,39.0,36.0,1.0,7.7,32.0,1.0
Anthony,2022-12-24T00:00,35.0,32.0,1.0,6.7,28.0,1.0
Del Norte,2022-12-24T00:00,33.0,31.0,1.0,,,
Desert View,2022-12-24T00:00,34.0,31.0,1.0,,,
West Mesa,2022-12-24T00:00,26.0,24.0,1.0,,,
Tramway,2022-12-24T00:00,29.0,27.0,1.0,6.9,29.0,1.0
Chaparral,2022-12-24T00:00,24.0,22.0,1.0,,,
Socorro Hueco C49,2022-12-24T00:00,20.0,19.0,1.0,3.0,13.0,1.0
Ft. Collins - CSU Facilities,2022-12-24T00:00,17.0,16.0,1.0,13.2,53.0,2.0
La Casa NCORE - 4545 Navajo St.,2022-12-24T00:00,28.0,26.0,1.0,13.5,54.0,2.0
Denver Swansea Elementary School,2022-12-24T00:00,17.0,16.0,1.0,,,
Welby - 78th Ave. & Steele St.,2022-12-24T00:00,10.0,9.0,1.0,,,
