datetime,pm_10_conc,pm_10_AQI,pm_10_cat,station_name
2022-12-24T00:00,39.0,36,1,Jacobs
2022-12-24T00:00,15.0,14,1,Fort Bragg High School
2022-12-24T00:00,10.0,9,1,Willows-Colusa
2022-12-24T00:00,11.0,10,1,Colusa - Sunrise Blvd.
2022-12-24T00:00,16.0,15,1,Chico -  East
2022-12-24T00:00,22.0,20,1,Yuba City
2022-12-24T00:00,15.0,14,1,San Juan Bautista AMS
2022-12-24T00:00,33.0,31,1,Downtown Sacramento - T Street
2022-12-24T00:00,37.0,34,1,TracyAP
2022-12-24T00:00,16.0,15,1,Hollister AMS
2022-12-24T00:00,33.0,31,1,Roseville - N.Sunrise/Douglas
2022-12-24T00:00,36.0,33,1,Manteca
2022-12-24T00:00,9.0,8,1,King City AMS
2022-12-24T00:00,39.0,36,1,Modesto - 14th Street
2022-12-24T00:00,40.0,37,1,Turlock - S. Minaret Street
2022-12-24T00:00,16.0,15,1,San Andreas
2022-12-24T00:00,8.0,7,1,Atascadero2
2022-12-24T00:00,5.0,5,1,Paso Robles - Santa Fe Ave
2022-12-24T00:00,14.0,13,1,SLO Roberto
2022-12-24T00:00,18.0,17,1,Nipomo Mesa CDF
2022-12-24T00:00,22.0,20,1,Mesa 2 /Nipomo
2022-12-24T00:00,15.0,14,1,Nipomo RP
2022-12-24T00:00,42.0,39,1,Merced-M St
2022-12-24T00:00,9.0,8,1,Lompoc H Street
2022-12-24T00:00,7.0,6,1,Santa Maria
2022-12-24T00:00,8.0,7,1,Las Flores Canyon
2022-12-24T00:00,32.0,30,1,Madera-City
2022-12-24T00:00,12.0,11,1,South Lake Tahoe - Sandy Way
2022-12-24T00:00,16.0,15,1,Goleta
2022-12-24T00:00,28.0,26,1,Reno4
2022-12-24T00:00,49.0,45,1,Fresno - Garland
2022-12-24T00:00,28.0,26,1,Santa Rosa Rancheria
2022-12-24T00:00,20.0,19,1,Sparks
2022-12-24T00:00,55.0,51,2,Fresno - Drummond Street
2022-12-24T00:00,34.0,31,1,Toll
2022-12-24T00:00,49.0,45,1,Clovis - N. Villa Ave
2022-12-24T00:00,21.0,19,1,Santa Barbara
2022-12-24T00:00,32.0,30,1,Hanford - S. Irwin Street
2022-12-24T00:00,12.0,11,1,Wadsworth-NV
2022-12-24T00:00,18.0,17,1,El Rio - Rio Mesa School #2
2022-12-24T00:00,9.0,8,1,Lee Vining
2022-12-24T00:00,32.0,30,1,Oildale - 3311 Manor Street
2022-12-24T00:00,48.0,44,1,Bakersfield - Golden State Highway
2022-12-24T00:00,24.0,22,1,Mammoth Lakes
2022-12-24T00:00,11.0,10,1,Simi Valley - Cochran Street
2022-12-24T00:00,10.0,9,1,Bishop Paiute Tribe-CA
2022-12-24T00:00,8.0,7,1,NCORE - Bishop
2022-12-24T00:00,61.0,54,2,Los Angeles - N. Main Street
2022-12-24T00:00,51.0,47,1,Long Beach Signal Hill
2022-12-24T00:00,4.0,4,1,Mojave - CA 58 Business
2022-12-24T00:00,10.0,9,1,Lone Pine
2022-12-24T00:00,5.0,5,1,Olancha
2022-12-24T00:00,7.0,6,1,Bill Stanley
2022-12-24T00:00,6.0,6,1,North Beach
2022-12-24T00:00,5.0,5,1,Dirty Socks
2022-12-24T00:00,6.0,6,1,Coso Junction
2022-12-24T00:00,6.0,6,1,Lizard Tail
2022-12-24T00:00,38.0,35,1,Anaheim
2022-12-24T00:00,6.0,6,1,Shell Cut
2022-12-24T00:00,6.0,6,1,Keeler
2022-12-24T00:00,4.0,4,1,Mill Site
2022-12-24T00:00,43.0,40,1,Glendora - Laurel
2022-12-24T00:00,35.0,32,1,Upland
2022-12-24T00:00,48.0,44,1,Mira Loma - Van Buren
2022-12-24T00:00,40.0,37,1,Riverside - Rubidoux
2022-12-24T00:00,21.0,19,1,Trona - Athol and Telegraph
2022-12-24T00:00,12.0,11,1,Lake Elsinore - W. Flint Street
2022-12-24T00:00,9.0,8,1,Victorville - Park Avenue
