datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,3.7,15,1,Crescent City
2022-12-24T00:00,3.5,15,1,Florence-Department of Forestry
2022-12-24T00:00,6.7,28,1,Toledo NE Hwy20 & NW A St
2022-12-24T00:00,2.6,11,1,Cave Junction Forest Service
2022-12-24T00:00,6.8,28,1,MMCA82001
2022-12-24T00:00,18.4,64,2,Roseburg Fire Dept
2022-12-24T00:00,9.0,38,1,Willits Blosser Lane
2022-12-24T00:00,4.6,19,1,Grants Pass - Parkside School
2022-12-24T00:00,5.6,23,1,Dallas LaCreole Middle School
2022-12-24T00:00,11.8,49,1,Corvallis EPA Office
2022-12-24T00:00,8.9,37,1,Ukiah Library
2022-12-24T00:00,3.1,13,1,MMCA82067
2022-12-24T00:00,9.2,38,1,McMinnville High School
2022-12-24T00:00,13.0,53,2,Eugene - Highway 99
2022-12-24T00:00,0.5,2,1,Eugene - Wilkes Dr.
2022-12-24T00:00,12.3,51,2,Albany - Calapooia School
2022-12-24T00:00,24.5,77,2,Eugene - Amazon Park
2022-12-24T00:00,8.9,37,1,Cottage Grove City Shops
2022-12-24T00:00,4.8,20,1,Springfield City Hall
2022-12-24T00:00,15.5,58,2,Salem - State Hospital
2022-12-24T00:00,12.7,52,2,Salem Chemeketa Community College
2022-12-24T00:00,1.7,7,1,Weaverville
2022-12-24T00:00,7.2,30,1,Turner - CJHS
2022-12-24T00:00,0.0,0,1,SISK1006
2022-12-24T00:00,12.8,52,2,Medford Welch & Jackson
2022-12-24T00:00,8.7,36,1,Woodburn Chemeketa Community College
2022-12-24T00:00,22.9,74,2,Sebastopol
2022-12-24T00:00,5.2,22,1,Shady Cove - Shady Cove School
2022-12-24T00:00,8.7,36,1,Silverton
2022-12-24T00:00,8.3,35,1,Talent - Rapp Lane
2022-12-24T00:00,9.1,38,1,Portland Near Road
2022-12-24T00:00,18.6,65,2,Sweet Home - Fire Department
