Fort Bragg High School,2022-12-27T23:00,49.0,45.0,1.0,,,
San Juan Bautista AMS,2022-12-27T23:00,3.0,3.0,1.0,,,
Hollister AMS,2022-12-27T23:00,1.0,1.0,1.0,0.4,2.0,1.0
King City AMS,2022-12-27T23:00,0.0,0.0,1.0,0.0,0.0,1.0
Atascadero2,2022-12-27T23:00,5.0,5.0,1.0,0.4,2.0,1.0
SLO Roberto,2022-12-27T23:00,5.0,5.0,1.0,0.0,0.0,1.0
Nipomo Mesa CDF,2022-12-27T23:00,4.0,4.0,1.0,3.0,13.0,1.0
Mesa 2 /Nipomo,2022-12-27T23:00,6.0,6.0,1.0,2.5,10.0,1.0
Nipomo RP,2022-12-27T23:00,3.0,3.0,1.0,,,
Lompoc H Street,2022-12-27T23:00,8.0,7.0,1.0,4.3,18.0,1.0
Santa Maria,2022-12-27T23:00,1.0,1.0,1.0,3.2,13.0,1.0
Las Flores Canyon,2022-12-27T23:00,1.0,1.0,1.0,,,
Goleta,2022-12-27T23:00,12.0,11.0,1.0,6.3,26.0,1.0
Santa Barbara,2022-12-27T23:00,14.0,13.0,1.0,9.7,40.0,1.0
Wadsworth-NV,2022-12-27T23:00,5.0,5.0,1.0,,,
El Rio - Rio Mesa School #2,2022-12-27T23:00,17.0,16.0,1.0,10.7,45.0,1.0
Simi Valley - Cochran Street,2022-12-27T23:00,18.0,17.0,1.0,10.6,44.0,1.0
Bishop Paiute Tribe-CA,2022-12-27T23:00,10.0,9.0,1.0,8.8,37.0,1.0
Westmorland - 570 Cook St,2022-12-27T23:00,75.0,61.0,2.0,,,
El Centro - 9th Street,2022-12-27T23:00,118.0,82.0,2.0,22.5,73.0,2.0
Niland - English Road,2022-12-27T23:00,32.0,30.0,1.0,,,
Maricopa,2022-12-27T23:00,20.0,19.0,1.0,,,
Hidden Valley,2022-12-27T23:00,47.0,44.0,1.0,6.0,25.0,1.0
Stanfield,2022-12-27T23:00,32.0,30.0,1.0,,,
Casa Grande Downtown,2022-12-27T23:00,33.0,31.0,1.0,,,
Ft McD Yuma Frank-AZ,2022-12-27T23:00,16.0,15.0,1.0,,,
Pinal County Housing,2022-12-27T23:00,27.0,25.0,1.0,,,
COMBS,2022-12-27T23:00,8.0,7.0,1.0,,,
Eloy,2022-12-27T23:00,28.0,26.0,1.0,,,
Apache Junction,2022-12-27T23:00,10.0,9.0,1.0,,,
Pinal Air Park,2022-12-27T23:00,22.0,20.0,1.0,,,
Substation,2022-12-27T23:00,8.0,7.0,1.0,,,
Ute 3,2022-12-27T23:00,6.0,6.0,1.0,1.2,5.0,1.0
7E Deming Airport,2022-12-27T23:00,28.0,26.0,1.0,,,
Ute 1,2022-12-27T23:00,9.0,8.0,1.0,2.1,9.0,1.0
Holman Rd,2022-12-27T23:00,22.0,20.0,1.0,,,
Anthony,2022-12-27T23:00,28.0,26.0,1.0,2.9,12.0,1.0
