Kapolei,2022-12-29T02:00,20.0,19.0,1.0,5.4,23.0,1.0
Honolulu,2022-12-29T02:00,14.0,13.0,1.0,2.4,10.0,1.0
Laurel,2022-12-29T02:00,11.0,10.0,1.0,,,
Garden,2022-12-29T02:00,12.0,11.0,1.0,8.5,35.0,1.0
Parkgate (Eagle River),2022-12-29T02:00,15.0,14.0,1.0,,,
Butte (Harrison Court),2022-12-29T02:00,15.0,14.0,1.0,9.3,39.0,1.0
NCore,2022-12-29T02:00,13.0,12.0,1.0,10.6,44.0,1.0
BLM-Kaktovik,2022-12-29T02:00,7.0,6.0,1.0,1.6,7.0,1.0
Floyd Dryden,2022-12-29T02:00,8.0,7.0,1.0,6.1,25.0,1.0
Kitimat Riverlodge,2022-12-29T02:00,3.0,3.0,1.0,4.4,18.0,1.0
Smithers Muheim Memorial,2022-12-29T02:00,7.0,6.0,1.0,14.5,56.0,2.0
Burns Lake Fire Centre,2022-12-29T02:00,18.0,17.0,1.0,21.6,71.0,2.0
Jacobs,2022-12-29T02:00,9.0,8.0,1.0,,,
Fort Bragg High School,2022-12-29T02:00,26.0,24.0,1.0,,,
Vancouver Airport,2022-12-29T02:00,8.0,7.0,1.0,4.1,17.0,1.0
Burnaby North,2022-12-29T02:00,7.0,6.0,1.0,,,
Burnaby South,2022-12-29T02:00,6.0,6.0,1.0,0.9,4.0,1.0
Kensington Park,2022-12-29T02:00,7.0,6.0,1.0,1.7,7.0,1.0
PRG Plaza 400,2022-12-29T02:00,21.0,19.0,1.0,18.4,64.0,2.0
Langley,2022-12-29T02:00,5.0,5.0,1.0,5.2,22.0,1.0
Quesnel Johnston Avenue,2022-12-29T02:00,14.0,13.0,1.0,4.1,17.0,1.0
Abbotsford Airport,2022-12-29T02:00,5.0,5.0,1.0,2.5,10.0,1.0
Abbotsford,2022-12-29T02:00,5.0,5.0,1.0,4.2,18.0,1.0
Willows-Colusa,2022-12-29T02:00,12.0,11.0,1.0,12.2,51.0,2.0
Williams Lake Columneetza School,2022-12-29T02:00,11.0,10.0,1.0,10.2,43.0,1.0
Colusa - Sunrise Blvd.,2022-12-29T02:00,4.0,4.0,1.0,7.2,30.0,1.0
Chilliwack,2022-12-29T02:00,9.0,8.0,1.0,8.4,35.0,1.0
Chico -  East,2022-12-29T02:00,22.0,20.0,1.0,10.0,42.0,1.0
Yuba City,2022-12-29T02:00,15.0,14.0,1.0,11.0,46.0,1.0
San Juan Bautista AMS,2022-12-29T02:00,19.0,18.0,1.0,,,
Hope,2022-12-29T02:00,6.0,6.0,1.0,1.8,8.0,1.0
Downtown Sacramento - T Street,2022-12-29T02:00,14.0,13.0,1.0,6.3,26.0,1.0
TracyAP,2022-12-29T02:00,16.0,15.0,1.0,2.8,12.0,1.0
Hollister AMS,2022-12-29T02:00,11.0,10.0,1.0,4.1,17.0,1.0
Roseville - N.Sunrise/Douglas,2022-12-29T02:00,18.0,17.0,1.0,9.3,39.0,1.0
Manteca,2022-12-29T02:00,15.0,14.0,1.0,4.8,20.0,1.0
King City AMS,2022-12-29T02:00,17.0,16.0,1.0,3.1,13.0,1.0
FORT ST JOHN LEARNING CENTRE,2022-12-29T02:00,11.0,10.0,1.0,8.3,35.0,1.0
Turlock - S. Minaret Street,2022-12-29T02:00,26.0,24.0,1.0,12.3,51.0,2.0
San Andreas,2022-12-29T02:00,7.0,6.0,1.0,4.5,19.0,1.0
Paso Robles - Santa Fe Ave,2022-12-29T02:00,11.0,10.0,1.0,,,
SLO Roberto,2022-12-29T02:00,20.0,19.0,1.0,9.9,41.0,1.0
Nipomo Mesa CDF,2022-12-29T02:00,41.0,38.0,1.0,9.0,38.0,1.0
Mesa 2 /Nipomo,2022-12-29T02:00,34.0,31.0,1.0,8.1,34.0,1.0
Yakima-4th Ave,2022-12-29T02:00,25.0,23.0,1.0,8.7,36.0,1.0
Nipomo RP,2022-12-29T02:00,27.0,25.0,1.0,,,
Merced-M St,2022-12-29T02:00,22.0,20.0,1.0,8.2,34.0,1.0
Lompoc H Street,2022-12-29T02:00,24.0,22.0,1.0,7.6,32.0,1.0
Santa Maria,2022-12-29T02:00,19.0,18.0,1.0,7.8,33.0,1.0
Las Flores Canyon,2022-12-29T02:00,13.0,12.0,1.0,,,
Madera-City,2022-12-29T02:00,16.0,15.0,1.0,7.5,31.0,1.0
South Lake Tahoe - Sandy Way,2022-12-29T02:00,6.0,6.0,1.0,,,
Goleta,2022-12-29T02:00,15.0,14.0,1.0,3.2,13.0,1.0
Reno4,2022-12-29T02:00,6.0,6.0,1.0,0.2,1.0,1.0
Fresno - Garland,2022-12-29T02:00,25.0,23.0,1.0,7.0,29.0,1.0
Santa Rosa Rancheria,2022-12-29T02:00,21.0,19.0,1.0,,,
Sparks,2022-12-29T02:00,8.0,7.0,1.0,3.4,14.0,1.0
Fresno - Drummond Street,2022-12-29T02:00,29.0,27.0,1.0,,,
Toll,2022-12-29T02:00,19.0,18.0,1.0,1.1,5.0,1.0
Clovis - N. Villa Ave,2022-12-29T02:00,17.0,16.0,1.0,4.8,20.0,1.0
Santa Barbara,2022-12-29T02:00,14.0,13.0,1.0,8.0,33.0,1.0
Hanford - S. Irwin Street,2022-12-29T02:00,21.0,19.0,1.0,8.7,36.0,1.0
Corcoran,2022-12-29T02:00,20.0,19.0,1.0,7.7,32.0,1.0
Kelowna KLO Road,2022-12-29T02:00,11.0,10.0,1.0,5.2,22.0,1.0
Wadsworth-NV,2022-12-29T02:00,0.0,0.0,1.0,,,
Vernon Science Centre,2022-12-29T02:00,22.0,20.0,1.0,9.0,38.0,1.0
Kennewick-Metaline,2022-12-29T02:00,2.0,2.0,1.0,0.5,2.0,1.0
El Rio - Rio Mesa School #2,2022-12-29T02:00,14.0,13.0,1.0,3.3,14.0,1.0
Lee Vining,2022-12-29T02:00,5.0,5.0,1.0,2.0,8.0,1.0
Burbank-Maple Street,2022-12-29T02:00,4.0,4.0,1.0,0.2,1.0,1.0
Mammoth Lakes,2022-12-29T02:00,6.0,6.0,1.0,,,
Bishop Paiute Tribe-CA,2022-12-29T02:00,11.0,10.0,1.0,11.4,48.0,1.0
NCORE - Bishop,2022-12-29T02:00,2.0,2.0,1.0,0.3,1.0,1.0
Los Angeles - N. Main Street,2022-12-29T02:00,14.0,13.0,1.0,5.2,22.0,1.0
Long Beach Signal Hill,2022-12-29T02:00,11.0,10.0,1.0,2.0,8.0,1.0
Mojave - CA 58 Business,2022-12-29T02:00,5.0,5.0,1.0,2.8,12.0,1.0
Lone Pine,2022-12-29T02:00,15.0,14.0,1.0,,,
Olancha,2022-12-29T02:00,4.0,4.0,1.0,,,
Bill Stanley,2022-12-29T02:00,1.0,1.0,1.0,,,
North Beach,2022-12-29T02:00,5.0,5.0,1.0,,,
Coso Junction,2022-12-29T02:00,6.0,6.0,1.0,,,
Lizard Tail,2022-12-29T02:00,3.0,3.0,1.0,,,
Anaheim,2022-12-29T02:00,15.0,14.0,1.0,1.6,7.0,1.0
Colville-E 1st St,2022-12-29T02:00,7.0,6.0,1.0,4.7,20.0,1.0
Shell Cut,2022-12-29T02:00,3.0,3.0,1.0,,,
Keeler,2022-12-29T02:00,33.0,31.0,1.0,4.2,18.0,1.0
Mill Site,2022-12-29T02:00,2.0,2.0,1.0,,,
Glendora - Laurel,2022-12-29T02:00,11.0,10.0,1.0,3.6,15.0,1.0
Castlegar Zinio Park,2022-12-29T02:00,8.0,7.0,1.0,3.1,13.0,1.0
Upland,2022-12-29T02:00,12.0,11.0,1.0,10.9,45.0,1.0
Cheney-Turnbull (SO),2022-12-29T02:00,1.0,1.0,1.0,0.3,1.0,1.0
Mira Loma - Van Buren,2022-12-29T02:00,16.0,15.0,1.0,5.2,22.0,1.0
Riverside - Rubidoux,2022-12-29T02:00,15.0,14.0,1.0,2.2,9.0,1.0
Trona - Athol and Telegraph,2022-12-29T02:00,14.0,13.0,1.0,,,
Spokane-Augusta Ave,2022-12-29T02:00,6.0,6.0,1.0,3.6,15.0,1.0
Lake Elsinore - W. Flint Street,2022-12-29T02:00,5.0,5.0,1.0,2.1,9.0,1.0
Victorville - Park Avenue,2022-12-29T02:00,12.0,11.0,1.0,4.3,18.0,1.0
Hesperia - Olive Street,2022-12-29T02:00,11.0,10.0,1.0,,,
Spokane-E Broadway Ave,2022-12-29T02:00,1.0,1.0,1.0,0.0,0.0,1.0
Golden Helipad,2022-12-29T02:00,14.0,13.0,1.0,7.6,32.0,1.0
Lucerne Valley,2022-12-29T02:00,9.0,8.0,1.0,,,
Nampa Fire Station,2022-12-29T02:00,13.0,12.0,1.0,2.0,8.0,1.0
Sandpoint U of I,2022-12-29T02:00,1.0,1.0,1.0,1.7,7.0,1.0
Palm Springs - Fire Station,2022-12-29T02:00,7.0,6.0,1.0,,,
Garden City,2022-12-29T02:00,15.0,14.0,1.0,2.0,8.0,1.0
Pinehurst,2022-12-29T02:00,6.0,6.0,1.0,0.0,0.0,1.0
Pinehurst,2022-12-29T02:00,6.0,6.0,1.0,10.1,42.0,1.0
Torres Martinez Administration,2022-12-29T02:00,37.0,34.0,1.0,,,
Saul Martinez,2022-12-29T02:00,23.0,21.0,1.0,,,
Salton Sea Beach,2022-12-29T02:00,37.0,34.0,1.0,5.9,25.0,1.0
Glen Oaks,2022-12-29T02:00,8.0,7.0,1.0,,,
Church,2022-12-29T02:00,15.0,14.0,1.0,,,
Elko,2022-12-29T02:00,5.0,5.0,1.0,,,
Westmorland - 570 Cook St,2022-12-29T02:00,17.0,16.0,1.0,,,
El Centro - 9th Street,2022-12-29T02:00,32.0,30.0,1.0,11.6,48.0,1.0
Libby Courthouse,2022-12-29T02:00,25.0,23.0,1.0,18.9,65.0,2.0
Niland - English Road,2022-12-29T02:00,9.0,8.0,1.0,,,
Brawley - 220 Main Street,2022-12-29T02:00,14.0,13.0,1.0,2.7,11.0,1.0
Calexico - Ethel Street,2022-12-29T02:00,23.0,21.0,1.0,9.5,40.0,1.0
Jean,2022-12-29T02:00,5.0,5.0,1.0,0.6,3.0,1.0
Palo Verde,2022-12-29T02:00,10.0,9.0,1.0,1.9,8.0,1.0
Thompson Falls HS,2022-12-29T02:00,15.0,14.0,1.0,8.8,37.0,1.0
Mountains Edge,2022-12-29T02:00,6.0,6.0,1.0,0.9,4.0,1.0
Walter Johnson,2022-12-29T02:00,13.0,12.0,1.0,2.8,12.0,1.0
Paul Meyer,2022-12-29T02:00,12.0,11.0,1.0,2.6,11.0,1.0
Joe Neal,2022-12-29T02:00,11.0,10.0,1.0,1.2,5.0,1.0
Liberty High School,2022-12-29T02:00,9.0,8.0,1.0,1.8,8.0,1.0
Sunrise Acres,2022-12-29T02:00,13.0,12.0,1.0,1.9,8.0,1.0
Walnut Rec.,2022-12-29T02:00,12.0,11.0,1.0,1.6,7.0,1.0
Jerome Mack,2022-12-29T02:00,12.0,11.0,1.0,2.6,11.0,1.0
GreenValley,2022-12-29T02:00,12.0,11.0,1.0,3.0,13.0,1.0
Elkford Rocky Mountain Elementary School,2022-12-29T02:00,1.0,1.0,1.0,1.6,7.0,1.0
Sparwood Centennial Square,2022-12-29T02:00,1.0,1.0,1.0,0.6,3.0,1.0
Garrett Jr. High,2022-12-29T02:00,9.0,8.0,1.0,3.3,14.0,1.0
Yuma Supersite,2022-12-29T02:00,13.0,12.0,1.0,1.4,6.0,1.0
Bullhead City,2022-12-29T02:00,11.0,10.0,1.0,,,
Kalispell Flathead Electric,2022-12-29T02:00,7.0,6.0,1.0,,,
Columbia Falls,2022-12-29T02:00,0.0,0.0,1.0,0.2,1.0,1.0
Virgin Valley,2022-12-29T02:00,6.0,6.0,1.0,1.2,5.0,1.0
Missoula Boyd Park,2022-12-29T02:00,3.0,3.0,1.0,2.1,9.0,1.0
Alamo Lake,2022-12-29T02:00,1.0,1.0,1.0,1.8,8.0,1.0
Ajo,2022-12-29T02:00,5.0,5.0,1.0,,,
Buckeye,2022-12-29T02:00,15.0,14.0,1.0,,,
Butte Greely School,2022-12-29T02:00,4.0,4.0,1.0,0.0,0.0,1.0
Pocatello Garrett and Gould,2022-12-29T02:00,0.0,0.0,1.0,0.0,0.0,1.0
Dysart,2022-12-29T02:00,12.0,11.0,1.0,,,
Zuni Hills,2022-12-29T02:00,10.0,9.0,1.0,,,
Glendale Community College,2022-12-29T02:00,7.0,6.0,1.0,7.0,29.0,1.0
West 43rd,2022-12-29T02:00,14.0,13.0,1.0,,,
West Phoenix,2022-12-29T02:00,11.0,10.0,1.0,8.2,34.0,1.0
Durango Complex,2022-12-29T02:00,9.0,8.0,1.0,3.0,13.0,1.0
Phoenix JLG Supersite,2022-12-29T02:00,11.0,10.0,1.0,6.0,25.0,1.0
South Phoenix,2022-12-29T02:00,7.0,6.0,1.0,5.3,22.0,1.0
North Phoenix,2022-12-29T02:00,6.0,6.0,1.0,5.0,21.0,1.0
Maricopa,2022-12-29T02:00,7.0,6.0,1.0,,,
Central Phoenix,2022-12-29T02:00,10.0,9.0,1.0,,,
Hidden Valley,2022-12-29T02:00,8.0,7.0,1.0,0.8,3.0,1.0
Herriman #3,2022-12-29T02:00,7.0,6.0,1.0,2.1,9.0,1.0
Harrisville,2022-12-29T02:00,0.0,0.0,1.0,0.8,3.0,1.0
Stanfield,2022-12-29T02:00,7.0,6.0,1.0,,,
Tempe,2022-12-29T02:00,6.0,6.0,1.0,5.3,22.0,1.0
South Scottsdale,2022-12-29T02:00,12.0,11.0,1.0,,,
West Chandler Fire Station,2022-12-29T02:00,9.0,8.0,1.0,,,
Hawthorne,2022-12-29T02:00,4.0,4.0,1.0,2.1,9.0,1.0
Mesa - Brooks Reservoir,2022-12-29T02:00,5.0,5.0,1.0,3.8,16.0,1.0
Senior Center,2022-12-29T02:00,4.0,4.0,1.0,,,
High School,2022-12-29T02:00,6.0,6.0,1.0,,,
LEHI,2022-12-29T02:00,7.0,6.0,1.0,,,
Casa Grande Downtown,2022-12-29T02:00,6.0,6.0,1.0,2.1,9.0,1.0
Higley,2022-12-29T02:00,7.0,6.0,1.0,,,
Lindon,2022-12-29T02:00,6.0,6.0,1.0,0.6,3.0,1.0
Ft McD Yuma Frank-AZ,2022-12-29T02:00,7.0,6.0,1.0,,,
Pinal County Housing,2022-12-29T02:00,4.0,4.0,1.0,,,
COMBS,2022-12-29T02:00,5.0,5.0,1.0,,,
Eloy,2022-12-29T02:00,6.0,6.0,1.0,,,
Apache Junction,2022-12-29T02:00,4.0,4.0,1.0,,,
Payson Well Site,2022-12-29T02:00,2.0,2.0,1.0,,,
Pinal Air Park,2022-12-29T02:00,5.0,5.0,1.0,,,
Rillito,2022-12-29T02:00,12.0,11.0,1.0,,,
Orange Grove,2022-12-29T02:00,3.0,3.0,1.0,6.3,26.0,1.0
Green Valley,2022-12-29T02:00,0.0,0.0,1.0,0.0,0.0,1.0
South Tucson,2022-12-29T02:00,12.0,11.0,1.0,,,
