datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM2.5,5.4,23,1,Kapolei
2022-12-29T02:00,PM10,20.0,19,1,Kapolei
2022-12-29T02:00,PM2.5,3.2,13,1,SAND ISLAND 2 - ANUENUE FISHERIES
2022-12-29T02:00,PM10,14.0,13,1,Honolulu
2022-12-29T02:00,PM2.5,2.4,10,1,Honolulu
2022-12-29T02:00,PM2.5,6.4,27,1,KAHULUI
2022-12-29T02:00,PM2.5,4.7,20,1,Kailua-Kona
2022-12-29T02:00,PM2.5,4.0,17,1,Kona
2022-12-29T02:00,PM2.5,4.0,17,1,Waikoloa-21
2022-12-29T02:00,PM2.5,2.2,9,1,Ocean View
2022-12-29T02:00,PM2.5,4.9,20,1,Naalehu
2022-12-29T02:00,PM2.5,5.9,25,1,Pahala
2022-12-29T02:00,PM2.5,1.7,7,1,Hilo
2022-12-29T02:00,PM2.5,3.0,13,1,Mountain View
2022-12-29T02:00,PM2.5,3.0,13,1,KS Hawaii
2022-12-29T02:00,PM10,11.0,10,1,Laurel
2022-12-29T02:00,PM2.5,8.5,35,1,Garden
2022-12-29T02:00,PM10,12.0,11,1,Garden
2022-12-29T02:00,PM10,15.0,14,1,Parkgate (Eagle River)
2022-12-29T02:00,PM2.5,9.3,39,1,Butte (Harrison Court)
2022-12-29T02:00,PM10,15.0,14,1,Butte (Harrison Court)
2022-12-29T02:00,PM2.5,10.6,44,1,NCore
2022-12-29T02:00,PM10,13.0,12,1,NCore
2022-12-29T02:00,PM2.5,10.6,44,1,A Street
2022-12-29T02:00,PM2.5,5.7,24,1,Hurst Road
2022-12-29T02:00,PM2.5,1.6,7,1,BLM-Kaktovik
2022-12-29T02:00,PM10,7.0,6,1,BLM-Kaktovik
2022-12-29T02:00,PM2.5,6.1,25,1,Floyd Dryden
2022-12-29T02:00,PM10,8.0,7,1,Floyd Dryden
2022-12-29T02:00,PM2.5,1.8,8,1,Kitimat Haul Road
2022-12-29T02:00,PM2.5,4.4,18,1,Kitimat Riverlodge
2022-12-29T02:00,PM10,3.0,3,1,Kitimat Riverlodge
2022-12-29T02:00,PM2.5,0.5,2,1,Kitimat Haisla Village
2022-12-29T02:00,PM2.5,13.5,54,2,TERRACE SKEENA MIDDLE SCHOOL
2022-12-29T02:00,PM2.5,14.5,56,2,Smithers Muheim Memorial
2022-12-29T02:00,PM10,7.0,6,1,Smithers Muheim Memorial
2022-12-29T02:00,PM2.5,21.6,71,2,Burns Lake Fire Centre
2022-12-29T02:00,PM10,18.0,17,1,Burns Lake Fire Centre
2022-12-29T02:00,PM2.5,9.9,41,1,Courtenay Elementary School
2022-12-29T02:00,PM2.5,6.1,25,1,Port Alberni Elementary
2022-12-29T02:00,PM2.5,1.6,7,1,Cheeka Peak
2022-12-29T02:00,PM2.5,4.1,17,1,Neah Bay 2-Makah Tribe
2022-12-29T02:00,PM2.5,3.1,13,1,Powell River James T
2022-12-29T02:00,PM2.5,3.0,13,1,Coos Bay Marshfield HS
2022-12-29T02:00,PM2.5,7.4,31,1,Crescent City
2022-12-29T02:00,PM10,9.0,8,1,Jacobs
2022-12-29T02:00,PM2.5,3.4,14,1,Florence-Department of Forestry
2022-12-29T02:00,PM2.5,2.0,8,1,Nanaimo Labieux Road
2022-12-29T02:00,PM2.5,2.0,8,1,Toledo NE Hwy20 & NW A St
2022-12-29T02:00,PM2.5,3.8,16,1,Aberdeen-Division St
2022-12-29T02:00,PM2.5,11.0,46,1,Tillamook Jr High School
2022-12-29T02:00,PM10,26.0,24,1,Fort Bragg High School
2022-12-29T02:00,PM2.5,4.1,17,1,Raymond-4th St
2022-12-29T02:00,PM2.5,10.9,45,1,Duncan College Street
2022-12-29T02:00,PM2.5,3.7,15,1,MMCA82062
2022-12-29T02:00,PM2.5,9.2,38,1,Cave Junction Forest Service
2022-12-29T02:00,PM2.5,3.3,14,1,MMCA81046
2022-12-29T02:00,PM2.5,0.8,3,1,Colwood City Hall
2022-12-29T02:00,PM2.5,2.1,9,1,Langdale Elementary
2022-12-29T02:00,PM2.5,32.9,95,2,Port Angeles-E 5th St
2022-12-29T02:00,PM2.5,12.4,52,2,MMCA82001
2022-12-29T02:00,PM2.5,3.7,15,1,Roseburg Fire Dept
2022-12-29T02:00,PM2.5,3.5,15,1,Victoria Topaz
2022-12-29T02:00,PM2.5,11.6,48,1,Willits Blosser Lane
2022-12-29T02:00,PM2.5,3.1,13,1,Grants Pass - Parkside School
2022-12-29T02:00,PM2.5,2.0,8,1,Dallas LaCreole Middle School
2022-12-29T02:00,PM2.5,2.0,8,1,Horseshoe Bay
2022-12-29T02:00,PM2.5,3.0,13,1,Ukiah Library
2022-12-29T02:00,PM2.5,8.5,35,1,MMCA82067
2022-12-29T02:00,PM2.5,2.3,10,1,McMinnville High School
2022-12-29T02:00,PM2.5,4.1,17,1,Vancouver Airport
2022-12-29T02:00,PM10,8.0,7,1,Vancouver Airport
2022-12-29T02:00,PM2.5,2.4,10,1,SQUAMISH ELEMENTARY
2022-12-29T02:00,PM2.5,2.4,10,1,Eugene - Highway 99
2022-12-29T02:00,PM2.5,0.3,1,1,Eugene - Wilkes Dr.
2022-12-29T02:00,PM2.5,4.0,17,1,Richmond South
2022-12-29T02:00,PM2.5,3.3,14,1,Forest Grove Pacific University
2022-12-29T02:00,PM2.5,3.7,15,1,Shelton-W Franklin
2022-12-29T02:00,PM2.5,2.3,10,1,Albany - Calapooia School
2022-12-29T02:00,PM2.5,1.9,8,1,Eugene - Amazon Park
2022-12-29T02:00,PM2.5,3.9,16,1,Mahon Park
2022-12-29T02:00,PM2.5,1.2,5,1,Tsawwassen
2022-12-29T02:00,PM2.5,2.6,11,1,Cottage Grove City Shops
2022-12-29T02:00,PM2.5,5.6,23,1,Second Narrows
2022-12-29T02:00,PM2.5,1.6,7,1,Springfield City Hall
2022-12-29T02:00,PM10,7.0,6,1,Burnaby North
2022-12-29T02:00,PM2.5,2.4,10,1,Salem - State Hospital
2022-12-29T02:00,PM10,6.0,6,1,Burnaby South
2022-12-29T02:00,PM2.5,0.9,4,1,Burnaby South
2022-12-29T02:00,PM2.5,2.1,9,1,Salem Chemeketa Community College
2022-12-29T02:00,PM2.5,3.9,16,1,Hillsboro - Hare Field
2022-12-29T02:00,PM2.5,1.7,7,1,Kensington Park
2022-12-29T02:00,PM10,7.0,6,1,Kensington Park
2022-12-29T02:00,PM2.5,3.8,16,1,Chehalis-Market Blvd
2022-12-29T02:00,PM2.5,2.5,10,1,Longview-30th Ave
2022-12-29T02:00,PM2.5,4.7,20,1,Whistler Meadow Park
2022-12-29T02:00,PM2.5,1.3,5,1,Weaverville
2022-12-29T02:00,PM2.5,2.3,10,1,Turner - CJHS
2022-12-29T02:00,PM2.5,2.7,11,1,North Delta
2022-12-29T02:00,PM2.5,0.0,0,1,SISK1006
2022-12-29T02:00,PM2.5,8.0,33,1,Medford Welch & Jackson
2022-12-29T02:00,PM2.5,2.2,9,1,Woodburn Chemeketa Community College
2022-12-29T02:00,PM2.5,2.1,9,1,Lacey-College St
2022-12-29T02:00,PM2.5,9.0,38,1,Sebastopol
2022-12-29T02:00,PM2.5,2.5,10,1,Beaverton - Highland Park School
2022-12-29T02:00,PM2.5,3.6,15,1,Shady Cove - Shady Cove School
2022-12-29T02:00,PM2.5,2.3,10,1,Silverton
2022-12-29T02:00,PM2.5,2.8,12,1,Talent - Rapp Lane
2022-12-29T02:00,PM2.5,3.9,16,1,Port Townsend-San Juan
2022-12-29T02:00,PM2.5,3.9,16,1,Portland Near Road
2022-12-29T02:00,PM2.5,18.4,64,2,PRG Plaza 400
2022-12-29T02:00,PM10,21.0,19,1,PRG Plaza 400
2022-12-29T02:00,PM2.5,2.6,11,1,Roosevelt High School
2022-12-29T02:00,PM2.5,2.9,12,1,Sweet Home - Fire Department
2022-12-29T02:00,PM2.5,1.1,5,1,Pitt Meadows
2022-12-29T02:00,PM2.5,3.8,16,1,Ashland Fire Dept
2022-12-29T02:00,PM2.5,3.3,14,1,Surrey East
2022-12-29T02:00,PM2.5,2.2,9,1,Portland Lincoln High School
2022-12-29T02:00,PM2.5,1.9,8,1,Oak Harbor-SW 6th (US)
2022-12-29T02:00,PM2.5,3.2,13,1,Portland SE 12th and Salmon
2022-12-29T02:00,PM2.5,4.3,18,1,Yreka
2022-12-29T02:00,PM2.5,2.5,10,1,Bremerton-Spruce Ave
2022-12-29T02:00,PM2.5,6.2,26,1,Lyons
2022-12-29T02:00,PM2.5,3.6,15,1,Anacortes-202 Ave (SO-AQS)
2022-12-29T02:00,PM2.5,0.8,3,1,Portland - SE Lafayette
2022-12-29T02:00,PM2.5,2.5,10,1,Portland Lane Middle School
2022-12-29T02:00,PM2.5,3.3,14,1,Portland - Spangler Road
2022-12-29T02:00,PM2.5,3.8,16,1,Vancouver-NE 84th Ave
2022-12-29T02:00,PM2.5,2.5,10,1,Portland McDaniel High School
2022-12-29T02:00,PM2.5,2.4,10,1,Portland Cully Helensview School
2022-12-29T02:00,PM2.5,5.2,22,1,Langley
