datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-25T16:00,PM2.5,4.4,18,1,Kapolei
2022-12-25T16:00,PM10,10.0,9,1,Kapolei
2022-12-25T16:00,PM2.5,6.2,26,1,SAND ISLAND 2 - ANUENUE FISHERIES
2022-12-25T16:00,PM2.5,2.6,11,1,Honolulu
2022-12-25T16:00,PM10,8.0,7,1,Honolulu
2022-12-25T16:00,PM2.5,1.7,7,1,KAHULUI
2022-12-25T16:00,PM2.5,0.7,3,1,Kailua-Kona
2022-12-25T16:00,PM2.5,1.3,5,1,Kona
2022-12-25T16:00,PM2.5,1.2,5,1,Waikoloa-21
2022-12-25T16:00,PM2.5,1.5,6,1,Ocean View
2022-12-25T16:00,PM2.5,2.4,10,1,Naalehu
2022-12-25T16:00,PM2.5,3.2,13,1,Pahala
2022-12-25T16:00,PM2.5,8.7,36,1,Hilo
2022-12-25T16:00,PM2.5,6.3,26,1,Mountain View
2022-12-25T16:00,PM2.5,5.9,25,1,KS Hawaii
2022-12-25T16:00,PM10,3.0,3,1,Laurel
2022-12-25T16:00,PM10,4.0,4,1,Garden
2022-12-25T16:00,PM2.5,0.3,1,1,Garden
2022-12-25T16:00,PM10,10.0,9,1,Parkgate (Eagle River)
2022-12-25T16:00,PM2.5,9.8,41,1,Butte (Harrison Court)
2022-12-25T16:00,PM10,9.0,8,1,Butte (Harrison Court)
2022-12-25T16:00,PM2.5,9.0,38,1,NCore
2022-12-25T16:00,PM10,10.0,9,1,NCore
2022-12-25T16:00,PM2.5,4.4,18,1,A Street
2022-12-25T16:00,PM2.5,3.5,15,1,Hurst Road
2022-12-25T16:00,PM2.5,1.1,5,1,BLM-Kaktovik
2022-12-25T16:00,PM10,1.0,1,1,BLM-Kaktovik
2022-12-25T16:00,PM2.5,9.5,40,1,Floyd Dryden
2022-12-25T16:00,PM10,13.0,12,1,Floyd Dryden
2022-12-25T16:00,PM2.5,3.3,14,1,Kitimat Haul Road
2022-12-25T16:00,PM2.5,3.9,16,1,Kitimat Riverlodge
2022-12-25T16:00,PM10,2.0,2,1,Kitimat Riverlodge
2022-12-25T16:00,PM2.5,5.3,22,1,Kitimat Haisla Village
2022-12-25T16:00,PM2.5,4.7,20,1,KITIMAT WHITESAIL
2022-12-25T16:00,PM2.5,5.5,23,1,TERRACE SKEENA MIDDLE SCHOOL
2022-12-25T16:00,PM2.5,7.2,30,1,Smithers Muheim Memorial
2022-12-25T16:00,PM10,11.0,10,1,Smithers Muheim Memorial
2022-12-25T16:00,PM2.5,13.5,54,2,Burns Lake Fire Centre
2022-12-25T16:00,PM10,16.0,15,1,Burns Lake Fire Centre
2022-12-25T16:00,PM2.5,13.0,53,2,Courtenay Elementary School
2022-12-25T16:00,PM2.5,11.2,47,1,Port Alberni Elementary
2022-12-25T16:00,PM2.5,1.1,5,1,Cheeka Peak
2022-12-25T16:00,PM2.5,3.3,14,1,Neah Bay 2-Makah Tribe
2022-12-25T16:00,PM2.5,4.0,17,1,Powell River James T
2022-12-25T16:00,PM2.5,3.7,15,1,Coos Bay Marshfield HS
2022-12-25T16:00,PM2.5,7.6,32,1,Crescent City
2022-12-25T16:00,PM10,8.0,7,1,Jacobs
2022-12-25T16:00,PM2.5,4.2,18,1,Florence-Department of Forestry
2022-12-25T16:00,PM2.5,3.4,14,1,Nanaimo Labieux Road
2022-12-25T16:00,PM2.5,3.5,15,1,Toledo NE Hwy20 & NW A St
2022-12-25T16:00,PM2.5,2.5,10,1,Aberdeen-Division St
2022-12-25T16:00,PM2.5,1.9,8,1,Tillamook Jr High School
2022-12-25T16:00,PM10,8.0,7,1,Fort Bragg High School
2022-12-25T16:00,PM2.5,1.4,6,1,Raymond-4th St
2022-12-25T16:00,PM2.5,12.7,52,2,Duncan College Street
2022-12-25T16:00,PM2.5,15.5,58,2,MMCA82062
2022-12-25T16:00,PM2.5,7.1,30,1,Cave Junction Forest Service
2022-12-25T16:00,PM2.5,5.1,21,1,MMCA81046
2022-12-25T16:00,PM2.5,6.5,27,1,Colwood City Hall
2022-12-25T16:00,PM2.5,3.5,15,1,Langdale Elementary
2022-12-25T16:00,PM2.5,12.2,51,2,Port Angeles-E 5th St
2022-12-25T16:00,PM2.5,8.0,33,1,MMCA82001
2022-12-25T16:00,PM2.5,13.0,53,2,Roseburg Fire Dept
2022-12-25T16:00,PM2.5,1.4,6,1,Victoria Topaz
2022-12-25T16:00,PM2.5,13.4,54,2,Willits Blosser Lane
2022-12-25T16:00,PM2.5,12.0,50,1,Grants Pass - Parkside School
2022-12-25T16:00,PM2.5,5.2,22,1,Dallas LaCreole Middle School
2022-12-25T16:00,PM2.5,1.9,8,1,Corvallis EPA Office
2022-12-25T16:00,PM2.5,3.4,14,1,Horseshoe Bay
2022-12-25T16:00,PM2.5,0.0,0,1,Ukiah Library
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82067
2022-12-25T16:00,PM2.5,2.9,12,1,McMinnville High School
2022-12-25T16:00,PM2.5,3.5,15,1,Vancouver Airport
2022-12-25T16:00,PM10,6.0,6,1,Vancouver Airport
2022-12-25T16:00,PM2.5,2.3,10,1,SQUAMISH ELEMENTARY
2022-12-25T16:00,PM2.5,1.8,8,1,Eugene - Highway 99
2022-12-25T16:00,PM2.5,0.5,2,1,Eugene - Wilkes Dr.
2022-12-25T16:00,PM2.5,1.7,7,1,Richmond South
2022-12-25T16:00,PM2.5,5.4,23,1,Forest Grove Pacific University
2022-12-25T16:00,PM2.5,6.7,28,1,Shelton-W Franklin
2022-12-25T16:00,PM2.5,3.5,15,1,Albany - Calapooia School
2022-12-25T16:00,PM2.5,1.3,5,1,Eugene - Amazon Park
2022-12-25T16:00,PM2.5,4.7,20,1,Mahon Park
2022-12-25T16:00,PM2.5,3.1,13,1,Tsawwassen
2022-12-25T16:00,PM2.5,3.5,15,1,Cottage Grove City Shops
2022-12-25T16:00,PM2.5,4.7,20,1,Second Narrows
2022-12-25T16:00,PM2.5,0.9,4,1,Springfield City Hall
2022-12-25T16:00,PM10,7.0,6,1,Burnaby North
2022-12-25T16:00,PM2.5,7.7,32,1,Salem - State Hospital
2022-12-25T16:00,PM2.5,2.1,9,1,Burnaby South
2022-12-25T16:00,PM10,5.0,5,1,Burnaby South
2022-12-25T16:00,PM2.5,6.3,26,1,Salem Chemeketa Community College
2022-12-25T16:00,PM2.5,10.3,43,1,Hillsboro - Hare Field
2022-12-25T16:00,PM2.5,2.0,8,1,Kensington Park
2022-12-25T16:00,PM10,4.0,4,1,Kensington Park
2022-12-25T16:00,PM2.5,3.9,16,1,Chehalis-Market Blvd
